Day,Month,Poop collected y/n,AM/PM,Weather,Loc Desc,Scan time,Age,Sex,Strata,Behavior,Descriptor,Location
11,June,Y,AM,SC LW,F,7:55,I,U,TC,G+,0,F
11,June,Y,AM,SC LW,F,8:05,A,F,TC,G+,0,F
11,June,Y,AM,SC LW,F,8:05,A,F,TC,G-,0,F
11,June,Y,AM,SC LW,F,8:05,A,F,TC,L,0,F
11,June,Y,AM,SC LW,F Ln PW,8:45,A,M,MC,R,0,F
11,June,Y,AM,SC LW,F Ln PW,8:45,A,F,MC,R,0,F
11,June,Y,AM,SC LW,F Ln PW,8:45,A,M,G,L,0,Ln
11,June,Y,AM,SC LW,F Ln PW,8:45,A,F,MC,R,0,F
11,June,Y,AM,SC LW,F,8:50,A,M,HS,Fe,HFc,F
11,June,Y,AM,SC LW,F,8:50,A,F,MC,R,0,F
11,June,Y,AM,SC LW,F,8:50,A,F,MC,R,0,F
11,June,Y,AM,SC LW,F,8:50,A,F,MC,R,0,F
11,June,Y,AM,SC LW,F,8:50,I,M,MC,Fe,N,F
11,June,Y,AM,SC LW,F,8:50,I,M,MC,Fe,N,F
11,June,Y,AM,SC LW,F,8:50,A,F,MC,R,0,F
11,June,Y,AM,SC LW,F,8:50,J,U,MC,R,0,F
11,June,Y,AM,SC LW,F Ln PW,8:55,A,F,MC,R,0,F
11,June,Y,AM,SC LW,F Ln PW,8:55,J,U,G,R,0,PW
11,June,Y,AM,SC LW,F Ln PW,8:55,A,M,G,Fe,HFc,Ln
11,June,Y,AM,SC LW,F Ln PW,8:55,A,F,G,L,0,PW
11,June,Y,AM,SC LW,F Ln PW,8:55,A,M,G,L,0,PW
11,June,Y,AM,SC LW,F Ln PW,8:55,A,F,G,L,0,PW
11,June,Y,AM,SC LW,F Ln ,9:00,I,M,MC,R,0,F
11,June,Y,AM,SC LW,F Ln ,9:00,I,M,MC,R,0,F
11,June,Y,AM,SC LW,F Ln ,9:00,I,U,MC,R,0,F
11,June,Y,AM,SC LW,F Ln ,9:00,A,M,MC,R,0,F
11,June,Y,AM,SC LW,F Ln ,9:00,A,F,MC,R,0,F
11,June,Y,AM,SC LW,F Ln ,9:00,J,U,G,Fo,HFc,Ln
11,June,Y,AM,SC LW,F Ln ,9:00,J,U,G,Fo,HFc,Ln
11,June,Y,AM,SC LW,F Ln ,9:00,A,F,G,Fo,HFc,F
11,June,Y,AM,SC LW,F,9:10,A,M,G,R,0,F
11,June,Y,AM,SC LW,F,9:10,J,U,MC,R,0,F
11,June,Y,AM,SC LW,F,9:10,I,U,MC,Fo,N,F
11,June,Y,AM,SC LW,F,9:10,I,U,MC,R,0,F
11,June,Y,AM,SC LW,F,9:10,I,U,MC,R,0,F
11,June,Y,AM,SC LW,F,9:10,I,U,MC,Fo,N,F
11,June,Y,AM,SC LW,F,9:10,I,U,MC,R,0,F
11,June,Y,AM,SC LW,F HO Ln,9:15,I,U,MC,Fo,N,Ln
11,June,Y,AM,SC LW,F HO Ln,9:15,J,M,G,PL,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:15,J,F,G,PL,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:15,A,F,G,L,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:15,A,M,G,Ag+,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:15,A,M,G,Ag-,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:15,I,U,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:20,J,M,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:20,I,U,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:20,A,M,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:20,A,F,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:20,A,M,G,R,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:20,J,M,G,L,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:20,J,U,MC,PL,0,Ln
11,June,Y,AM,SC LW,F HO Ln,9:20,J,U,G,PL,0,Ln
